window_size,history_window,total_return,annual_return,sharpe,max_drawdown,calmar,information_ratio,win_rate,excess_return,benchmark_return,data_points,cv_sharpe
40,100,0.4105617821418275,0.1424289633167526,0.8268163403426534,-0.18464203208258412,0.7713788767936054,0.5717981836358953,0.4270353302611367,0.1406194419212936,0.26994234022053387,651,-0.1571655370441609
50,20,0.4194700279928856,0.14521643430002484,0.8185715292777266,-0.210769795542312,0.688981236264817,0.6152175973418785,0.45622119815668205,0.1495276877723517,0.26994234022053387,651,0.031076822895962766
50,30,0.3750371615514596,0.1312043637791458,0.7359190798673478,-0.22068143059058642,0.5945419305467496,0.43863857605410533,0.44393241167434716,0.10509482133092574,0.26994234022053387,651,-0.056911118107942055
50,40,0.363980896727788,0.12767474271161317,0.7195652143124279,-0.22258657562849704,0.5735958799451847,0.3875510512656175,0.42857142857142855,0.09403855650725412,0.26994234022053387,651,-0.09125581486827268
50,50,0.328644579908119,0.1162748914766012,0.656710363940347,-0.22670629921239216,0.5128877842413538,0.24394727842432773,0.4270353302611367,0.058702239687585145,0.26994234022053387,651,-0.18585744225108744
50,60,0.301809807585498,0.10749298207560676,0.606814738208269,-0.2280268261889964,0.4714049827914235,0.1377299995231557,0.423963133640553,0.03186746736496415,0.26994234022053387,651,-0.24034210994843277
50,70,0.29527427034150233,0.1053374040767765,0.5965941956045219,-0.22677195969425679,0.46450806448379545,0.11137766686741009,0.41321044546851,0.02533193012096846,0.26994234022053387,651,-0.20764506358573137
50,80,0.27040400786870267,0.09707307592824765,0.5526908524167468,-0.225254120884409,0.43094916775378994,0.008634060945102053,0.4039938556067588,0.00046166764816879535,0.26994234022053387,651,-0.40716222941694163
50,90,0.25517055835181846,0.09196197088237201,0.5262389122587982,-0.22386015900186895,0.4108009718763947,-0.05773813982216915,0.4009216589861751,-0.014771781868715417,0.26994234022053387,651,-0.38619245090850135
50,100,0.21515002414331286,0.0783505427017328,0.4510219866475187,-0.2199056194104122,0.35629168054821897,-0.23684981831764138,0.3870967741935484,-0.054792316077221015,0.26994234022053387,651,-0.44939135720766266
60,20,0.15725252405706058,0.05816362202985781,0.3237519256876092,-0.2393301592896897,0.24302671340077733,-0.4970467983750958,0.4162826420890937,-0.11268981616347329,0.26994234022053387,651,-0.2261551274727705
60,30,0.1519304034533535,0.05627718587351649,0.31088287698192496,-0.2536821070753419,0.22184136879942637,-0.5010459878459016,0.391705069124424,-0.11801193676718036,0.26994234022053387,651,-0.34916876121740603
60,40,0.1619055642291758,0.059808549469630545,0.3294521478463642,-0.25440847428770996,0.23508866847726617,-0.44152001199470453,0.3870967741935484,-0.10803677599135808,0.26994234022053387,651,-0.36745462911403093
60,50,0.16830027081864474,0.062062611306976434,0.34157580947535665,-0.24171346812562677,0.25676108074673093,-0.40913337349457396,0.3932411674347158,-0.10164206940188913,0.26994234022053387,651,-0.3598651362896904
60,60,0.17468902232124295,0.06430703540818627,0.356179815982111,-0.22949034182747263,0.28021673982485645,-0.3877146677141795,0.38402457757296465,-0.09525331789929092,0.26994234022053387,651,-0.32228693140432974
60,70,0.13957355900027713,0.051876580922247006,0.2895918090612285,-0.23461575969044812,0.2211129422451967,-0.5667909778997753,0.3778801843317972,-0.13036878122025675,0.26994234022053387,651,-0.44422090433130357
